Method,Beta,Perf
GNN-4,0.1,0.941
Greedy,0.1,0.7677
SCITE,0.1,1.0
FCNN-3,0.1,0.998
GNN-4,0.1,1.0
Greedy,0.1,0.9254
SCITE,0.1,1.0
FCNN-3,0.1,0.971
GNN-4,0.1,0.7311
Greedy,0.1,0.971
SCITE,0.1,1.0
FCNN-3,0.1,0.7589
GNN-4,0.1,0.6474
Greedy,0.1,0.7591
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.8491
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,0.9174
GNN-4,0.1,0.9702
Greedy,0.1,0.9174
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.9982
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,0.9639
GNN-4,0.1,1.0
Greedy,0.1,0.8465
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,0.8827
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.8726
Greedy,0.1,0.9353
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.8958
Greedy,0.1,0.8698
SCITE,0.1,1.0
FCNN-3,0.1,0.8965
GNN-4,0.1,0.9554
Greedy,0.1,0.9404
SCITE,0.1,1.0
FCNN-3,0.1,0.9011
GNN-4,0.1,0.7104
Greedy,0.1,0.7976
SCITE,0.1,1.0
FCNN-3,0.1,0.8456
GNN-4,0.1,0.8713
Greedy,0.1,0.8043
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.8427
Greedy,0.1,0.9556
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.9556
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,0.9689
GNN-4,0.1,1.0
Greedy,0.1,0.9485
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.9763
Greedy,0.1,0.9474
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,0.9851
SCITE,0.1,1.0
FCNN-3,0.1,0.9022
GNN-4,0.1,0.9006
Greedy,0.1,0.9022
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.9804
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,0.9612
SCITE,0.1,1.0
FCNN-3,0.1,0.9627
GNN-4,0.1,1.0
Greedy,0.1,0.9627
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,0.9257
SCITE,0.1,1.0
FCNN-3,0.1,0.9178
GNN-4,0.1,1.0
Greedy,0.1,0.7844
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,0.9974
GNN-4,0.1,0.9438
Greedy,0.1,0.9974
SCITE,0.1,1.0
FCNN-3,0.1,0.9979
GNN-4,0.1,0.8654
Greedy,0.1,0.9242
SCITE,0.1,1.0
FCNN-3,0.1,0.835
GNN-4,0.1,0.8018
Greedy,0.1,0.835
SCITE,0.1,1.0
FCNN-3,0.1,0.796
GNN-4,0.1,0.7963
Greedy,0.1,0.796
SCITE,0.1,1.0
FCNN-3,0.1,0.9406
GNN-4,0.1,0.9879
Greedy,0.1,0.952
SCITE,0.1,1.0
FCNN-3,0.1,0.9127
GNN-4,0.1,0.7883
Greedy,0.1,0.7177
SCITE,0.1,1.0
FCNN-3,0.1,0.8446
GNN-4,0.1,1.0
Greedy,0.1,0.8221
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,0.8776
GNN-4,0.1,0.9074
Greedy,0.1,0.898
