Method,Num_Mut,Perf
GNN,10,1.0
Greedy,10,0.8374
GNN,12,1.0
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9545
Greedy,7,0.8218
GNN,10,0.9459
Greedy,10,0.7694
GNN,12,1.0
Greedy,12,0.973
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.913
Greedy,7,0.913
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9635
Greedy,12,0.7251
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8824
GNN,10,1.0
Greedy,10,0.8481
GNN,12,1.0
Greedy,12,0.8136
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9282
Greedy,10,0.8283
GNN,12,0.7544
Greedy,12,0.7544
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9594
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.9091
GNN,12,1.0
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8966
GNN,10,1.0
Greedy,10,1.0
GNN,12,1.0
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8132
GNN,10,0.9167
Greedy,10,0.9189
GNN,12,0.8889
Greedy,12,0.7602
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.9167
GNN,10,1.0
Greedy,10,1.0
GNN,12,1.0
Greedy,12,0.6816
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.8243
GNN,12,0.9306
Greedy,12,0.7864
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.907
Greedy,10,0.8605
GNN,12,0.9218
Greedy,12,0.7755
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.9
GNN,10,0.878
Greedy,10,0.7561
GNN,12,0.9101
Greedy,12,0.7391
GNN,5,1.0
Greedy,5,0.9088
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,1.0
Greedy,12,0.8634
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9
Greedy,10,0.9
GNN,12,0.9801
Greedy,12,0.8909
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.8462
Greedy,12,0.8462
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.9189
GNN,12,1.0
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.8
GNN,12,0.832
Greedy,12,0.7091
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,1.0
Greedy,12,0.7959
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.8537
Greedy,10,0.8537
GNN,12,1.0
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,1.0
Greedy,12,1.0
GNN,5,1.0
Greedy,5,0.9474
GNN,7,1.0
Greedy,7,0.9524
GNN,10,1.0
Greedy,10,1.0
GNN,12,1.0
Greedy,12,0.8525
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.9
GNN,10,1.0
Greedy,10,0.7925
GNN,12,0.9937
Greedy,12,0.931
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.9737
GNN,12,0.9464
Greedy,12,0.8571
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.8986
Greedy,10,1.0
GNN,12,0.8733
Greedy,12,0.7758
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8553
GNN,10,0.9655
Greedy,10,0.8621
GNN,12,0.9365
Greedy,12,0.7861
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.7971
GNN,12,0.9773
Greedy,12,0.9773
GNN,5,1.0
Greedy,5,0.781
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9111
Greedy,12,0.8868
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.9615
GNN,12,0.9951
Greedy,12,0.7985
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.7736
Greedy,10,0.7787
GNN,12,1.0
Greedy,12,0.9024
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8413
GNN,10,1.0
Greedy,10,0.9027
GNN,12,1.0
Greedy,12,0.9153
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9318
Greedy,12,0.7729
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.9286
GNN,12,1.0
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9583
Greedy,12,0.9583
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9487
Greedy,10,0.8974
GNN,12,0.9211
Greedy,12,0.8947
GNN,5,1.0
Greedy,5,0.9757
GNN,7,1.0
Greedy,7,1.0
