Method,Num_Cells,Perf
GNN-4,24,0.6931
Greedy,24,0.8901
SCITE,24,1.0
FCNN-3,36,0.9607
GNN-4,36,0.9194
Greedy,36,0.94
SCITE,36,1.0
FCNN-3,48,0.966
GNN-4,48,0.9773
Greedy,48,0.966
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,0.9521
GNN-4,12,1.0
Greedy,12,0.8768
SCITE,12,1.0
FCNN-3,24,1.0
GNN-4,24,0.9644
Greedy,24,0.944
SCITE,24,1.0
FCNN-3,36,0.8095
GNN-4,36,0.7877
Greedy,36,0.9239
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.939
Greedy,48,0.923
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,0.9194
GNN-4,12,0.9373
Greedy,12,0.9194
SCITE,12,1.0
FCNN-3,24,0.9836
GNN-4,24,0.941
Greedy,24,0.8395
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,1.0
Greedy,36,0.983
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.9549
Greedy,48,1.0
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,1.0
GNN-4,12,0.7308
Greedy,12,0.9176
SCITE,12,1.0
FCNN-3,24,1.0
GNN-4,24,0.9879
Greedy,24,0.9185
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,0.9158
Greedy,36,0.9073
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.8643
Greedy,48,1.0
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,0.8519
GNN-4,12,1.0
Greedy,12,0.8111
SCITE,12,1.0
FCNN-3,24,1.0
GNN-4,24,0.9706
Greedy,24,0.9569
SCITE,24,1.0
FCNN-3,36,0.9666
GNN-4,36,0.9252
Greedy,36,0.9666
SCITE,36,1.0
FCNN-3,48,0.9609
GNN-4,48,0.9819
Greedy,48,0.9609
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,1.0
GNN-4,12,0.8533
Greedy,12,1.0
SCITE,12,1.0
FCNN-3,24,0.8746
GNN-4,24,0.9503
Greedy,24,0.8746
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,0.9744
Greedy,36,1.0
SCITE,36,1.0
FCNN-3,48,0.8727
GNN-4,48,0.9664
Greedy,48,0.6345
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,0.8961
GNN-4,12,0.9797
Greedy,12,0.8987
SCITE,12,1.0
FCNN-3,24,0.9937
GNN-4,24,0.9828
Greedy,24,1.0
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,1.0
Greedy,36,0.8149
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.9835
Greedy,48,1.0
SCITE,48,1.0
FCNN-3,6,0.9806
GNN-4,6,1.0
Greedy,6,0.9349
SCITE,6,1.0
FCNN-3,12,0.9689
GNN-4,12,0.9821
Greedy,12,0.9596
SCITE,12,1.0
FCNN-3,24,1.0
GNN-4,24,0.9335
Greedy,24,1.0
SCITE,24,1.0
FCNN-3,36,0.9437
GNN-4,36,0.9368
Greedy,36,0.8322
SCITE,36,1.0
FCNN-3,48,0.9349
GNN-4,48,0.8914
Greedy,48,0.9349
SCITE,48,1.0
FCNN-3,6,0.832
GNN-4,6,1.0
Greedy,6,0.8627
SCITE,6,1.0
FCNN-3,12,0.888
GNN-4,12,0.9457
Greedy,12,0.7917
SCITE,12,1.0
FCNN-3,24,0.8676
GNN-4,24,1.0
Greedy,24,0.8929
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,1.0
Greedy,36,1.0
SCITE,36,1.0
FCNN-3,48,0.9486
GNN-4,48,1.0
Greedy,48,0.9486
SCITE,48,1.0
FCNN-3,6,0.9755
GNN-4,6,0.951
Greedy,6,0.7987
SCITE,6,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
Greedy,12,0.9691
SCITE,12,1.0
FCNN-3,24,1.0
GNN-4,24,0.8383
Greedy,24,1.0
SCITE,24,1.0
FCNN-3,36,0.9756
GNN-4,36,1.0
Greedy,36,0.9756
SCITE,36,1.0
FCNN-3,48,0.9955
GNN-4,48,0.9502
Greedy,48,0.8161
SCITE,48,1.0
FCNN-3,6,0.9382
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,0.9031
GNN-4,12,1.0
Greedy,12,0.9031
SCITE,12,1.0
FCNN-3,24,0.9422
GNN-4,24,0.9545
Greedy,24,0.9422
SCITE,24,1.0
FCNN-3,36,0.9733
GNN-4,36,0.969
Greedy,36,0.8905
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,1.0
Greedy,48,1.0
SCITE,48,1.0
FCNN-3,6,0.8533
GNN-4,6,0.9197
Greedy,6,0.8533
SCITE,6,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
Greedy,12,1.0
SCITE,12,1.0
FCNN-3,24,1.0
GNN-4,24,1.0
Greedy,24,0.8817
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,1.0
Greedy,36,1.0
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.9377
Greedy,48,1.0
SCITE,48,1.0
FCNN-3,6,0.9645
GNN-4,6,0.7697
Greedy,6,0.9645
SCITE,6,1.0
FCNN-3,12,0.9209
GNN-4,12,0.8631
Greedy,12,0.9209
SCITE,12,1.0
FCNN-3,24,1.0
GNN-4,24,0.99
Greedy,24,0.9726
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,1.0
Greedy,36,1.0
SCITE,36,1.0
FCNN-3,48,0.9969
GNN-4,48,0.662
Greedy,48,0.92
SCITE,48,1.0
FCNN-3,6,0.8667
GNN-4,6,0.9757
Greedy,6,0.8667
SCITE,6,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
Greedy,12,1.0
SCITE,12,1.0
FCNN-3,24,0.9329
GNN-4,24,1.0
Greedy,24,1.0
SCITE,24,1.0
FCNN-3,36,0.9624
