Method,Num_Mut,Perf
Greedy,10,0.9189
GNN,12,0.9131
Greedy,12,0.7602
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.9167
GNN,10,0.9696
Greedy,10,1.0
GNN,12,1.0
Greedy,12,0.6816
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9392
Greedy,10,0.8243
GNN,12,0.823
Greedy,12,0.7864
GNN,5,0.875
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9258
Greedy,10,0.8605
GNN,12,0.7982
Greedy,12,0.7755
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.9
GNN,10,0.9822
Greedy,10,0.7561
GNN,12,0.6778
Greedy,12,0.7391
GNN,5,1.0
Greedy,5,0.9088
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9544
Greedy,10,1.0
GNN,12,0.7644
Greedy,12,0.8634
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.8929
Greedy,10,0.9
GNN,12,0.9619
Greedy,12,0.8909
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9683
Greedy,10,1.0
GNN,12,0.9368
Greedy,12,0.8462
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9803
Greedy,10,0.9189
GNN,12,0.9324
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9726
Greedy,10,0.8
GNN,12,0.6813
Greedy,12,0.7091
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9828
Greedy,12,0.7959
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.8537
GNN,12,1.0
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9841
Greedy,10,1.0
GNN,12,1.0
Greedy,12,1.0
GNN,5,1.0
Greedy,5,0.9474
GNN,7,1.0
Greedy,7,0.9524
GNN,10,0.8384
Greedy,10,1.0
GNN,12,0.982
Greedy,12,0.8525
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9667
Greedy,7,0.9
GNN,10,0.9931
Greedy,10,0.7925
GNN,12,0.8837
Greedy,12,0.931
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9616
Greedy,10,0.9737
GNN,12,0.8132
Greedy,12,0.8571
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.8699
Greedy,12,0.7758
GNN,5,0.9739
Greedy,5,1.0
GNN,7,0.8712
Greedy,7,0.8553
GNN,10,1.0
Greedy,10,0.8621
GNN,12,0.7614
Greedy,12,0.7861
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9691
Greedy,10,0.7971
GNN,12,0.9091
